Date,Num_Legs,Mean_Windspeed,Std_Windspeed
2022-01-11,8,10.096966231228114,1.0141929682581785
2022-01-12,15,4.980028285395066,2.2694654838557407
2022-01-15,7,6.795398765950085,1.201472684805579
2022-01-18,10,9.086008842460071,2.8806492429742008
2022-01-19,12,6.586809486712132,1.449695833403174
2022-01-24,10,3.3869553590471604,0.8693717083819935
2022-01-26,9,7.152493445487045,1.3393917660673602
2022-01-27,10,4.088136366988573,1.2744185467431342
2022-02-01,6,8.185297357878095,0.7140620638625959
2022-02-02,5,3.5275961536460967,2.089871855835968
2022-02-03,10,7.345936836902519,1.598984973657413
2022-02-05,5,10.18316104540446,1.508227335202476
2022-02-15,9,5.115155012876381,0.8289109919682712
2022-02-16,11,5.453084795963982,1.5686874665384762
2022-02-19,13,6.942332883345757,4.077011721631181
2022-02-22,10,7.268220949862899,2.514338807480405
2022-02-26,13,5.171960560793938,1.652828726613459
2022-03-03,17,8.310881326765736,1.6045113061783245
2022-03-04,13,5.019411059474668,2.996114765378689
2022-03-13,12,6.25199639070624,2.571028958495086
2022-03-14,12,2.6236673191881814,0.9643896653998374
2022-03-18,3,3.8672348744892737,0.9588719956096879
2022-03-22,15,6.530496702072185,3.1340483675369715
2022-03-26,9,9.548704709799066,1.175904399794691
2022-03-28,6,6.8264852722356295,3.0721129382792967
2022-03-29,10,8.827806451836867,1.3525899966102053
2022-05-05,5,6.820381784874181,1.2909246123938882
2022-05-10,2,13.054008048328992,1.3965984718342876
2022-05-16,11,8.19055743236256,1.39145126113216
2022-05-17,10,4.037789598111568,1.4574809157948716
2022-05-18,20,4.066807183813624,2.1391837495991273
2022-05-20,8,8.69977857212588,1.433278384749869
2022-05-21,9,7.2098937806589225,3.199867074071199
2022-05-31,7,5.22890602309007,1.7335653231695276
2022-06-02,3,3.898006149079363,1.2121178977989184
2022-06-03,2,2.883428826209843,0.564973084674375
2022-06-05,11,4.153844995500918,1.0223457720476565
2022-06-07,5,6.189329088662321,1.5608609271606773
2022-06-08,3,5.411180661655343,0.5394455961892609
2022-06-10,5,3.308307116187879,1.427055727379061
2022-06-11,7,5.000437551977076,1.9538450149973565
2022-06-13,9,4.238176548599129,1.126182822618584
2022-06-14,2,3.324821015242352,0.7344611089526228
2022-06-17,5,2.6731394817312113,1.1490031821701026
2022-06-18,7,8.322983591522712,2.8275277919764203
