Date,Leg_start (min),Leg_stop (min),Type,Intercept_n0 (cm^-3 µm^-1),E_folding_D (µm),Conc_at_22.50µm (cm^-3 µm^-1),Conc_at_27.50µm (cm^-3 µm^-1),Conc_at_32.50µm (cm^-3 µm^-1),Conc_at_37.50µm (cm^-3 µm^-1),Conc_at_42.50µm (cm^-3 µm^-1),Conc_at_47.50µm (cm^-3 µm^-1)
2022-02-15,51123.0,51325.0,Ambient Distribution,,,0.058205411023618245,0.035603825884977736,0.02336370583200693,0.019815189995309863,0.020645761555027165,0.0068299903709430326
2022-02-15,51123.0,51325.0,Full Exponential Fit,1.269635484186683,0.7740929362137016,,,,,,
2022-02-15,51123.0,51325.0,≤10 µm Exponential Fit,1.2697242336888006,0.7740757200005111,,,,,,
2022-02-15,51663.0,51860.0,Ambient Distribution,,,0.06270824969095837,0.04418711647454353,0.022238975506467026,0.021414255370565013,0.018112102453501252,0.011592176537370625
2022-02-15,51663.0,51860.0,Full Exponential Fit,0.07045442330483644,6.273566047398553,,,,,,
2022-02-15,51663.0,51860.0,≤10 µm Exponential Fit,0.05190256152359883,12.743466352366294,,,,,,
2022-02-15,53315.0,53524.0,Ambient Distribution,,,0.19441250723289544,0.09952958422310287,0.06966404168032636,0.049529216268142884,0.06558888682348596,0.037485426616687856
2022-02-15,53315.0,53524.0,Full Exponential Fit,0.015174848337947756,9.435066045620276,,,,,,
2022-02-15,53315.0,53524.0,≤10 µm Exponential Fit,0.012811096563612718,19.999999998588034,,,,,,
2022-02-15,53803.0,54008.0,Ambient Distribution,,,0.10660331386849274,0.08040224770277955,0.04138083189289675,0.049718560264117494,0.035508485783189235,0.01693635963751733
2022-02-15,53803.0,54008.0,Full Exponential Fit,0.04946425015204573,8.720507232861008,,,,,,
2022-02-15,53803.0,54008.0,≤10 µm Exponential Fit,0.03977444530079711,19.999999999999925,,,,,,
2022-02-15,55918.0,56113.0,Ambient Distribution,,,0.13847962769453753,0.06843772343389364,0.04609634589373801,0.05076831541695413,0.047793627968585925,0.02199795423784781
2022-02-15,55918.0,56113.0,Full Exponential Fit,0.1596224545246972,5.851382004636801,,,,,,
2022-02-15,55918.0,56113.0,≤10 µm Exponential Fit,0.1299937429438874,8.724909766450343,,,,,,
2022-02-15,56414.0,56591.0,Ambient Distribution,,,0.09054920397975981,0.06105936905789292,0.0347334322437636,0.04515252991682689,0.03552350347295386,0.016515311451049283
2022-02-15,56414.0,56591.0,Full Exponential Fit,0.23527616923846786,2.0635446006034526,,,,,,
2022-02-15,56414.0,56591.0,≤10 µm Exponential Fit,0.2358760804492639,2.0597397680764438,,,,,,
2022-02-15,68154.0,68373.0,Ambient Distribution,,,0.05145275623974409,0.043753242593430254,0.02897188045282005,0.019336951313740636,0.019511923970648576,0.0074707643987529425
2022-02-15,68154.0,68373.0,Full Exponential Fit,0.09280539314501482,2.414278604495133,,,,,,
2022-02-15,68154.0,68373.0,≤10 µm Exponential Fit,0.09384754041570877,2.3918620272595192,,,,,,
2022-02-15,68686.0,68881.0,Ambient Distribution,,,0.06555230400109528,0.033611259652062846,0.021739972852696087,0.01583241846051462,0.01797082785900036,0.009508855588114087
2022-02-15,68686.0,68881.0,Full Exponential Fit,0.4363844447591826,1.9106443122551637,,,,,,
2022-02-15,68686.0,68881.0,≤10 µm Exponential Fit,0.43834798827701593,1.904761002441319,,,,,,
2022-02-15,70395.0,70602.0,Ambient Distribution,,,0.10633761289350614,0.06606906924587631,0.04036958361515607,0.03935948236543784,0.034452478724494154,0.022323439753898527
2022-02-15,70395.0,70602.0,Full Exponential Fit,0.15707812667125698,6.150645785949706,,,,,,
2022-02-15,70395.0,70602.0,≤10 µm Exponential Fit,0.12134410608904,10.802229049719578,,,,,,
2022-02-15,70904.0,71085.0,Ambient Distribution,,,0.1554875622684056,0.08571532063111148,0.06973226003194287,0.07039495717008556,0.05954653263137802,0.036823928884152285
2022-02-15,70904.0,71085.0,Full Exponential Fit,0.11139509745327719,6.1955145517064,,,,,,
2022-02-15,70904.0,71085.0,≤10 µm Exponential Fit,0.08570383692097282,11.0496573089364,,,,,,
2022-02-15,72818.0,72999.0,Ambient Distribution,,,0.17017259841338983,0.08335296655367683,0.05443022656473198,0.07145403185780985,0.0558796979292026,0.03386049174628348
2022-02-15,72818.0,72999.0,Full Exponential Fit,0.8188953414709208,1.2123918377139271,,,,,,
2022-02-15,72818.0,72999.0,≤10 µm Exponential Fit,0.8191269484565034,1.2122305831645024,,,,,,
2022-02-15,73305.0,73502.0,Ambient Distribution,,,0.1259728951980036,0.08730629764205845,0.06562734279231565,0.0535091050408149,0.04517024161312016,0.023634425544175244
2022-02-15,73305.0,73502.0,Full Exponential Fit,0.22387273068847197,2.782871598420484,,,,,,
2022-02-15,73305.0,73502.0,≤10 µm Exponential Fit,0.2202454890288486,2.8252637105947995,,,,,,
2022-02-15,75010.0,75243.0,Ambient Distribution,,,0.10211093651505587,0.05150715421232557,0.035198955756567854,0.027076826656861785,0.027502587909400605,0.016565337765817492
2022-02-15,75010.0,75243.0,Full Exponential Fit,0.20193233969127283,2.1386733170197454,,,,,,
2022-02-15,75010.0,75243.0,≤10 µm Exponential Fit,0.20351992848629222,2.126082351594623,,,,,,
2022-02-15,75574.0,75759.0,Ambient Distribution,,,0.060106145936071526,0.028584864884984035,0.01933621917863981,0.02236175848201026,0.01872817949736628,0.010016831055029887
2022-02-15,75574.0,75759.0,Full Exponential Fit,0.2626058872503516,2.186084808571746,,,,,,
2022-02-15,75574.0,75759.0,≤10 µm Exponential Fit,0.26350542203091076,2.180392702867141,,,,,,
